station_id,station_name,start_time,end_time,peak_aqi,duration_hours,first_actual_crossing,horizon,lead_time_hours,detection
3,Anand Vihar,2025-11-02 03:00:00+05:30,2025-11-02 07:00:00+05:30,405.0,5.0,2025-11-02 03:00:00+05:30,6h,0.0,miss
3,Anand Vihar,2025-11-04 02:00:00+05:30,2025-11-04 06:00:00+05:30,418.0,5.0,2025-11-04 02:00:00+05:30,6h,0.0,miss
3,Anand Vihar,2025-11-08 13:00:00+05:30,2025-11-09 09:00:00+05:30,416.0,21.0,2025-11-08 13:00:00+05:30,6h,3.0,hit
3,Anand Vihar,2025-11-10 12:00:00+05:30,2025-11-16 10:00:00+05:30,453.0,143.0,2025-11-10 12:00:00+05:30,6h,3.0,hit
3,Anand Vihar,2025-11-18 08:00:00+05:30,2025-11-25 01:00:00+05:30,447.0,162.0,2025-11-18 08:00:00+05:30,6h,3.0,hit
3,Anand Vihar,2025-11-27 04:00:00+05:30,2025-11-28 03:00:00+05:30,420.0,24.0,2025-11-27 04:00:00+05:30,6h,4.0,hit
3,Anand Vihar,2025-12-02 07:00:00+05:30,2025-12-03 02:00:00+05:30,421.0,20.0,2025-12-02 07:00:00+05:30,6h,3.0,hit
3,Anand Vihar,2025-12-12 06:00:00+05:30,2025-12-16 03:00:00+05:30,493.0,94.0,2025-12-12 06:00:00+05:30,6h,7.0,hit
3,Anand Vihar,2025-12-17 22:00:00+05:30,2025-12-23 21:00:00+05:30,470.0,144.0,2025-12-17 22:00:00+05:30,6h,2.0,hit
3,Anand Vihar,2025-12-26 06:00:00+05:30,2025-12-31 17:00:00+05:30,463.0,132.0,2025-12-26 06:00:00+05:30,6h,7.0,hit
4,Bawana,2025-11-01 20:00:00+05:30,2025-11-02 09:00:00+05:30,418.0,14.0,2025-11-01 20:00:00+05:30,6h,0.0,miss
4,Bawana,2025-11-04 03:00:00+05:30,2025-11-04 06:00:00+05:30,409.0,4.0,2025-11-04 03:00:00+05:30,6h,3.0,hit
4,Bawana,2025-11-07 16:00:00+05:30,2025-11-24 13:00:00+05:30,466.0,406.0,2025-11-07 16:00:00+05:30,6h,4.0,hit
4,Bawana,2025-11-26 23:00:00+05:30,2025-11-28 08:00:00+05:30,431.0,34.0,2025-11-26 23:00:00+05:30,6h,1.0,hit
4,Bawana,2025-12-02 09:00:00+05:30,2025-12-03 03:00:00+05:30,440.0,19.0,2025-12-02 09:00:00+05:30,6h,8.0,hit
4,Bawana,2025-12-12 12:00:00+05:30,2025-12-15 20:00:00+05:30,498.0,81.0,2025-12-12 12:00:00+05:30,6h,3.0,hit
4,Bawana,2025-12-16 01:00:00+05:30,2025-12-16 09:00:00+05:30,415.0,9.0,2025-12-16 01:00:00+05:30,6h,18.0,hit
4,Bawana,2025-12-18 12:00:00+05:30,2025-12-18 20:00:00+05:30,413.0,9.0,2025-12-18 12:00:00+05:30,6h,1.0,hit
4,Bawana,2025-12-20 06:00:00+05:30,2025-12-23 09:00:00+05:30,465.0,76.0,2025-12-20 06:00:00+05:30,6h,3.0,hit
4,Bawana,2025-12-26 09:00:00+05:30,2025-12-27 00:00:00+05:30,428.0,16.0,2025-12-26 09:00:00+05:30,6h,8.0,hit
4,Bawana,2025-12-27 06:00:00+05:30,2025-12-29 19:00:00+05:30,423.0,62.0,2025-12-27 06:00:00+05:30,6h,18.0,hit
5,Dwarka-Sector 8,2025-11-02 00:00:00+05:30,2025-11-02 09:00:00+05:30,418.0,10.0,2025-11-02 00:00:00+05:30,6h,1.0,hit
5,Dwarka-Sector 8,2025-11-10 13:00:00+05:30,2025-11-14 06:00:00+05:30,457.0,90.0,2025-11-10 13:00:00+05:30,6h,1.0,hit
5,Dwarka-Sector 8,2025-11-19 21:00:00+05:30,2025-11-20 16:00:00+05:30,419.0,20.0,2025-11-19 21:00:00+05:30,6h,1.0,hit
5,Dwarka-Sector 8,2025-11-23 23:00:00+05:30,2025-11-24 04:00:00+05:30,402.0,6.0,2025-11-23 23:00:00+05:30,6h,0.0,miss
5,Dwarka-Sector 8,2025-11-27 19:00:00+05:30,2025-11-28 13:00:00+05:30,422.0,19.0,2025-11-27 19:00:00+05:30,6h,1.0,hit
5,Dwarka-Sector 8,2025-12-13 05:00:00+05:30,2025-12-15 21:00:00+05:30,469.0,65.0,2025-12-13 05:00:00+05:30,6h,3.0,hit
5,Dwarka-Sector 8,2025-12-18 11:00:00+05:30,2025-12-19 08:00:00+05:30,442.0,22.0,2025-12-18 11:00:00+05:30,6h,3.0,hit
5,Dwarka-Sector 8,2025-12-20 00:00:00+05:30,2025-12-21 04:00:00+05:30,448.0,29.0,2025-12-20 00:00:00+05:30,6h,2.0,hit
5,Dwarka-Sector 8,2025-12-22 13:00:00+05:30,2025-12-23 19:00:00+05:30,440.0,31.0,2025-12-22 13:00:00+05:30,6h,0.0,hit
5,Dwarka-Sector 8,2025-12-27 09:00:00+05:30,2025-12-28 02:00:00+05:30,415.0,18.0,2025-12-27 09:00:00+05:30,6h,3.0,hit
5,Dwarka-Sector 8,2025-12-29 03:00:00+05:30,2025-12-30 12:00:00+05:30,427.0,34.0,2025-12-29 03:00:00+05:30,6h,7.0,hit
5,Dwarka-Sector 8,2025-12-30 21:00:00+05:30,2025-12-31 17:00:00+05:30,429.0,21.0,2025-12-30 21:00:00+05:30,6h,18.0,hit
6,ITO,2025-11-08 11:00:00+05:30,2025-11-09 10:00:00+05:30,422.0,24.0,2025-11-08 11:00:00+05:30,6h,1.0,hit
6,ITO,2025-11-10 13:00:00+05:30,2025-11-16 17:00:00+05:30,455.0,149.0,2025-11-10 13:00:00+05:30,6h,2.0,hit
6,ITO,2025-11-19 12:00:00+05:30,2025-11-19 23:00:00+05:30,413.0,12.0,2025-11-19 12:00:00+05:30,6h,0.0,miss
6,ITO,2025-11-23 15:00:00+05:30,2025-11-24 12:00:00+05:30,412.0,22.0,2025-11-23 15:00:00+05:30,6h,0.0,miss
6,ITO,2025-12-12 19:00:00+05:30,2025-12-16 05:00:00+05:30,489.0,83.0,2025-12-12 19:00:00+05:30,6h,1.0,hit
6,ITO,2025-12-18 09:00:00+05:30,2025-12-21 00:00:00+05:30,445.0,64.0,2025-12-18 09:00:00+05:30,6h,1.0,hit
6,ITO,2025-12-22 17:00:00+05:30,2025-12-23 20:00:00+05:30,447.0,28.0,2025-12-22 17:00:00+05:30,6h,5.0,hit
6,ITO,2025-12-27 07:00:00+05:30,2025-12-28 02:00:00+05:30,417.0,20.0,2025-12-27 07:00:00+05:30,6h,3.0,hit
6,ITO,2025-12-28 14:00:00+05:30,2025-12-29 00:00:00+05:30,413.0,11.0,2025-12-28 14:00:00+05:30,6h,0.0,miss
6,ITO,2025-12-29 09:00:00+05:30,2025-12-29 18:00:00+05:30,409.0,10.0,2025-12-29 09:00:00+05:30,6h,17.0,hit
6,ITO,2025-12-30 02:00:00+05:30,2025-12-30 10:00:00+05:30,413.0,9.0,2025-12-30 02:00:00+05:30,6h,1.0,hit
6,ITO,2025-12-30 19:00:00+05:30,2025-12-31 17:00:00+05:30,444.0,23.0,2025-12-30 19:00:00+05:30,6h,18.0,hit
7,Jahangirpuri,2025-11-02 01:00:00+05:30,2025-11-02 03:00:00+05:30,403.0,3.0,2025-11-02 01:00:00+05:30,6h,0.0,miss
7,Jahangirpuri,2025-11-03 16:00:00+05:30,2025-11-04 02:00:00+05:30,418.0,11.0,2025-11-03 16:00:00+05:30,6h,1.0,hit
7,Jahangirpuri,2025-11-08 11:00:00+05:30,2025-11-09 13:00:00+05:30,436.0,27.0,2025-11-08 11:00:00+05:30,6h,2.0,hit
7,Jahangirpuri,2025-11-10 09:00:00+05:30,2025-11-17 04:00:00+05:30,456.0,164.0,2025-11-10 09:00:00+05:30,6h,2.0,hit
7,Jahangirpuri,2025-11-17 16:00:00+05:30,2025-11-24 23:00:00+05:30,458.0,176.0,2025-11-17 16:00:00+05:30,6h,18.0,hit
7,Jahangirpuri,2025-11-27 04:00:00+05:30,2025-11-28 17:00:00+05:30,423.0,38.0,2025-11-27 04:00:00+05:30,6h,4.0,hit
7,Jahangirpuri,2025-12-02 12:00:00+05:30,2025-12-03 04:00:00+05:30,415.0,17.0,2025-12-02 12:00:00+05:30,6h,4.0,hit
7,Jahangirpuri,2025-12-12 01:00:00+05:30,2025-12-16 08:00:00+05:30,500.0,104.0,2025-12-12 01:00:00+05:30,6h,3.0,hit
7,Jahangirpuri,2025-12-17 21:00:00+05:30,2025-12-19 01:00:00+05:30,419.0,29.0,2025-12-17 21:00:00+05:30,6h,2.0,hit
7,Jahangirpuri,2025-12-19 07:00:00+05:30,2025-12-19 09:00:00+05:30,402.0,3.0,2025-12-19 07:00:00+05:30,6h,16.0,hit
7,Jahangirpuri,2025-12-19 16:00:00+05:30,2025-12-19 17:00:00+05:30,402.0,2.0,2025-12-19 16:00:00+05:30,6h,13.0,hit
7,Jahangirpuri,2025-12-19 22:00:00+05:30,2025-12-21 19:00:00+05:30,469.0,46.0,2025-12-19 22:00:00+05:30,6h,16.0,hit
7,Jahangirpuri,2025-12-22 01:00:00+05:30,2025-12-23 20:00:00+05:30,450.0,44.0,2025-12-22 01:00:00+05:30,6h,11.0,hit
7,Jahangirpuri,2025-12-26 05:00:00+05:30,2025-12-31 17:00:00+05:30,475.0,133.0,2025-12-26 05:00:00+05:30,6h,5.0,hit
8,Punjabi Bagh,2025-11-02 01:00:00+05:30,2025-11-02 08:00:00+05:30,410.0,8.0,2025-11-02 01:00:00+05:30,6h,1.0,hit
