threshold,tp,fp,fn,tn,precision,recall,f1,fpr,fnr,fp_actual_vpoor,fp_actual_poor,fp_actual_mod_better,fn_pred_vpoor,fn_pred_poor,fn_pred_mod_better,cost_rate_1x,cost_sample_1x,cost_rate_2x,cost_sample_2x,cost_rate_3x,cost_sample_3x,cost_rate_5x,cost_sample_5x,cost_rate_10x,cost_sample_10x,cost_rate_20x,cost_sample_20x
216.5,4029,5720,0,51,0.4132731562211509,1.0,0.5848454057192626,0.9911627101022353,0.0,4875,796,49,0,0,0,0.9911627101022353,0.5836734693877551,0.9911627101022353,0.5836734693877551,0.9911627101022353,0.5836734693877551,0.9911627101022353,0.5836734693877551,0.9911627101022353,0.5836734693877551,0.9911627101022353,0.5836734693877551
217.0,4029,5718,0,53,0.4133579562942444,1.0,0.5849303135888502,0.9908161497140877,0.0,4874,795,49,0,0,0,0.9908161497140877,0.583469387755102,0.9908161497140877,0.583469387755102,0.9908161497140877,0.583469387755102,0.9908161497140877,0.583469387755102,0.9908161497140877,0.583469387755102,0.9908161497140877,0.583469387755102
217.5,4029,5716,0,55,0.4134427911749615,1.0,0.5850152461158705,0.9904695893259401,0.0,4872,795,49,0,0,0,0.9904695893259401,0.583265306122449,0.9904695893259401,0.583265306122449,0.9904695893259401,0.583265306122449,0.9904695893259401,0.583265306122449,0.9904695893259401,0.583265306122449,0.9904695893259401,0.583265306122449
218.0,4029,5716,0,55,0.4134427911749615,1.0,0.5850152461158705,0.9904695893259401,0.0,4872,795,49,0,0,0,0.9904695893259401,0.583265306122449,0.9904695893259401,0.583265306122449,0.9904695893259401,0.583265306122449,0.9904695893259401,0.583265306122449,0.9904695893259401,0.583265306122449,0.9904695893259401,0.583265306122449
218.5,4029,5714,0,57,0.41352766088473775,1.0,0.5851002033110659,0.9901230289377924,0.0,4870,795,49,0,0,0,0.9901230289377924,0.5830612244897959,0.9901230289377924,0.5830612244897959,0.9901230289377924,0.5830612244897959,0.9901230289377924,0.5830612244897959,0.9901230289377924,0.5830612244897959,0.9901230289377924,0.5830612244897959
219.0,4029,5714,0,57,0.41352766088473775,1.0,0.5851002033110659,0.9901230289377924,0.0,4870,795,49,0,0,0,0.9901230289377924,0.5830612244897959,0.9901230289377924,0.5830612244897959,0.9901230289377924,0.5830612244897959,0.9901230289377924,0.5830612244897959,0.9901230289377924,0.5830612244897959,0.9901230289377924,0.5830612244897959
219.5,4029,5712,0,59,0.41361256544502617,1.0,0.5851851851851851,0.9897764685496447,0.0,4868,795,49,0,0,0,0.9897764685496447,0.5828571428571429,0.9897764685496447,0.5828571428571429,0.9897764685496447,0.5828571428571429,0.9897764685496447,0.5828571428571429,0.9897764685496447,0.5828571428571429,0.9897764685496447,0.5828571428571429
220.0,4029,5708,0,63,0.41378247920303995,1.0,0.585355223013221,0.9890833477733495,0.0,4867,792,49,0,0,0,0.9890833477733495,0.5824489795918367,0.9890833477733495,0.5824489795918367,0.9890833477733495,0.5824489795918367,0.9890833477733495,0.5824489795918367,0.9890833477733495,0.5824489795918367,0.9890833477733495,0.5824489795918367
220.5,4029,5708,0,63,0.41378247920303995,1.0,0.585355223013221,0.9890833477733495,0.0,4867,792,49,0,0,0,0.9890833477733495,0.5824489795918367,0.9890833477733495,0.5824489795918367,0.9890833477733495,0.5824489795918367,0.9890833477733495,0.5824489795918367,0.9890833477733495,0.5824489795918367,0.9890833477733495,0.5824489795918367
221.0,4029,5708,0,63,0.41378247920303995,1.0,0.585355223013221,0.9890833477733495,0.0,4867,792,49,0,0,0,0.9890833477733495,0.5824489795918367,0.9890833477733495,0.5824489795918367,0.9890833477733495,0.5824489795918367,0.9890833477733495,0.5824489795918367,0.9890833477733495,0.5824489795918367,0.9890833477733495,0.5824489795918367
221.5,4029,5704,0,67,0.4139525326209802,1.0,0.5855253596860921,0.9883902269970543,0.0,4863,792,49,0,0,0,0.9883902269970543,0.5820408163265306,0.9883902269970543,0.5820408163265306,0.9883902269970543,0.5820408163265306,0.9883902269970543,0.5820408163265306,0.9883902269970543,0.5820408163265306,0.9883902269970543,0.5820408163265306
222.0,4029,5703,0,68,0.4139950678175092,1.0,0.5855679093089164,0.9882169468029804,0.0,4862,792,49,0,0,0,0.9882169468029804,0.5819387755102041,0.9882169468029804,0.5819387755102041,0.9882169468029804,0.5819387755102041,0.9882169468029804,0.5819387755102041,0.9882169468029804,0.5819387755102041,0.9882169468029804,0.5819387755102041
222.5,4029,5702,0,69,0.41403761175624293,1.0,0.585610465116279,0.9880436666089066,0.0,4861,792,49,0,0,0,0.9880436666089066,0.5818367346938775,0.9880436666089066,0.5818367346938775,0.9880436666089066,0.5818367346938775,0.9880436666089066,0.5818367346938775,0.9880436666089066,0.5818367346938775,0.9880436666089066,0.5818367346938775
223.0,4029,5699,0,72,0.4141652960526316,1.0,0.5857381696590827,0.9875238260266852,0.0,4859,791,49,0,0,0,0.9875238260266852,0.581530612244898,0.9875238260266852,0.581530612244898,0.9875238260266852,0.581530612244898,0.9875238260266852,0.581530612244898,0.9875238260266852,0.581530612244898,0.9875238260266852,0.581530612244898
