file_key,station_folder,data_type,filename,extension,file_size_bytes,n_sheets,n_rows,n_cols,read_error
"Bawana, Delhi - DPCC/Raw Data/2026_raw_data_hourly_bawana,_delhi_-_dpcc_1H.csv","Bawana, Delhi - DPCC",Raw Data,"2026_raw_data_hourly_bawana,_delhi_-_dpcc_1H.csv",.csv,680881,1,5088,25,
"Dwarka-Sector 8, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_April_delhi_2025.xlsx","Dwarka-Sector 8, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_April_delhi_2025.xlsx",.xlsx,8579,1,30,25,
"Dwarka-Sector 8, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_August_delhi_2025.xlsx","Dwarka-Sector 8, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_August_delhi_2025.xlsx",.xlsx,8684,1,31,25,
"Dwarka-Sector 8, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_December_delhi_2025.xlsx","Dwarka-Sector 8, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_December_delhi_2025.xlsx",.xlsx,8700,1,31,25,
"Dwarka-Sector 8, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_February_delhi_2025.xlsx","Dwarka-Sector 8, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_February_delhi_2025.xlsx",.xlsx,8468,1,28,25,
"Dwarka-Sector 8, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_January_delhi_2025.xlsx","Dwarka-Sector 8, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_January_delhi_2025.xlsx",.xlsx,8759,1,31,25,
"Dwarka-Sector 8, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_July_delhi_2025.xlsx","Dwarka-Sector 8, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_July_delhi_2025.xlsx",.xlsx,8630,1,31,25,
"Dwarka-Sector 8, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_June_delhi_2025.xlsx","Dwarka-Sector 8, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_June_delhi_2025.xlsx",.xlsx,8505,1,30,25,
"Dwarka-Sector 8, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_March_delhi_2025.xlsx","Dwarka-Sector 8, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_March_delhi_2025.xlsx",.xlsx,8668,1,31,25,
"Dwarka-Sector 8, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_May_delhi_2025.xlsx","Dwarka-Sector 8, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_May_delhi_2025.xlsx",.xlsx,8766,1,31,25,
"Dwarka-Sector 8, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_November_delhi_2025.xlsx","Dwarka-Sector 8, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_November_delhi_2025.xlsx",.xlsx,8620,1,30,25,
"Dwarka-Sector 8, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_October_delhi_2025.xlsx","Dwarka-Sector 8, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_October_delhi_2025.xlsx",.xlsx,8753,1,31,25,
"Dwarka-Sector 8, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_September_delhi_2025.xlsx","Dwarka-Sector 8, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_September_delhi_2025.xlsx",.xlsx,8473,1,30,25,
"Dwarka-Sector 8, Delhi - DPCC/Raw Data/2023_raw_data_hourly_dwarka-sector_8,_delhi_-_dpcc__1H.csv","Dwarka-Sector 8, Delhi - DPCC",Raw Data,"2023_raw_data_hourly_dwarka-sector_8,_delhi_-_dpcc__1H.csv",.csv,1301759,1,8760,25,
"Dwarka-Sector 8, Delhi - DPCC/Raw Data/2024_raw_data_hourly_dwarka-sector_8,_delhi_-_dpcc__1H.csv","Dwarka-Sector 8, Delhi - DPCC",Raw Data,"2024_raw_data_hourly_dwarka-sector_8,_delhi_-_dpcc__1H.csv",.csv,1113888,1,8784,25,
"Dwarka-Sector 8, Delhi - DPCC/Raw Data/2025_raw_data_hourly_dwarka-sector_8,_delhi_-_dpcc__1H.csv","Dwarka-Sector 8, Delhi - DPCC",Raw Data,"2025_raw_data_hourly_dwarka-sector_8,_delhi_-_dpcc__1H.csv",.csv,1275813,1,8760,25,
"ITO, Delhi - CPCB/AQI Hourly/aqi_hourly_station_level_ito,_delhi_-_cpcb_2025_April_delhi_2025.xlsx","ITO, Delhi - CPCB",AQI Hourly,"aqi_hourly_station_level_ito,_delhi_-_cpcb_2025_April_delhi_2025.xlsx",.xlsx,8579,1,30,25,
"ITO, Delhi - CPCB/AQI Hourly/aqi_hourly_station_level_ito,_delhi_-_cpcb_2025_August_delhi_2025.xlsx","ITO, Delhi - CPCB",AQI Hourly,"aqi_hourly_station_level_ito,_delhi_-_cpcb_2025_August_delhi_2025.xlsx",.xlsx,8112,1,31,25,
"ITO, Delhi - CPCB/AQI Hourly/aqi_hourly_station_level_ito,_delhi_-_cpcb_2025_December_delhi_2025.xlsx","ITO, Delhi - CPCB",AQI Hourly,"aqi_hourly_station_level_ito,_delhi_-_cpcb_2025_December_delhi_2025.xlsx",.xlsx,8712,1,31,25,
"ITO, Delhi - CPCB/AQI Hourly/aqi_hourly_station_level_ito,_delhi_-_cpcb_2025_February_delhi_2025.xlsx","ITO, Delhi - CPCB",AQI Hourly,"aqi_hourly_station_level_ito,_delhi_-_cpcb_2025_February_delhi_2025.xlsx",.xlsx,8466,1,28,25,
"ITO, Delhi - CPCB/AQI Hourly/aqi_hourly_station_level_ito,_delhi_-_cpcb_2025_January_delhi_2025.xlsx","ITO, Delhi - CPCB",AQI Hourly,"aqi_hourly_station_level_ito,_delhi_-_cpcb_2025_January_delhi_2025.xlsx",.xlsx,8780,1,31,25,
"ITO, Delhi - CPCB/AQI Hourly/aqi_hourly_station_level_ito,_delhi_-_cpcb_2025_July_delhi_2025.xlsx","ITO, Delhi - CPCB",AQI Hourly,"aqi_hourly_station_level_ito,_delhi_-_cpcb_2025_July_delhi_2025.xlsx",.xlsx,8186,1,31,25,
"ITO, Delhi - CPCB/AQI Hourly/aqi_hourly_station_level_ito,_delhi_-_cpcb_2025_June_delhi_2025.xlsx","ITO, Delhi - CPCB",AQI Hourly,"aqi_hourly_station_level_ito,_delhi_-_cpcb_2025_June_delhi_2025.xlsx",.xlsx,8436,1,30,25,
"ITO, Delhi - CPCB/AQI Hourly/aqi_hourly_station_level_ito,_delhi_-_cpcb_2025_March_delhi_2025.xlsx","ITO, Delhi - CPCB",AQI Hourly,"aqi_hourly_station_level_ito,_delhi_-_cpcb_2025_March_delhi_2025.xlsx",.xlsx,8649,1,31,25,
