file_key,sheet,station_folder,data_type,col_name,inferred_dtype,semantic_role,sample_values,n_total,n_missing,pct_missing,completely_empty
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,11:00:00,float,unknown,81.0 | 92.0 | 102.0,31,1,3.23,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,12:00:00,float,unknown,79.0 | 94.0 | 103.0,31,2,6.45,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,13:00:00,float,unknown,77.0 | 99.0 | 101.0,31,2,6.45,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,14:00:00,float,unknown,77.0 | 101.0 | 98.0,31,1,3.23,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,15:00:00,float,unknown,78.0 | 102.0 | 95.0,31,1,3.23,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,16:00:00,float,unknown,78.0 | 103.0 | 95.0,31,1,3.23,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,17:00:00,float,unknown,81.0 | 102.0 | 95.0,31,1,3.23,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,18:00:00,float,unknown,83.0 | 101.0 | 98.0,31,2,6.45,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,19:00:00,float,unknown,84.0 | 100.0 | 104.0,31,1,3.23,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,20:00:00,float,unknown,83.0 | 102.0 | 106.0,31,1,3.23,False
