file_key,sheet,station_folder,n_rows,n_full_duplicate_rows,n_timestamp_duplicates,note
"Jahangirpuri, Delhi - DPCC	/Raw Data/2025_raw_data_hourly_jahangirpuri,_delhi_-_dpcc_1H.csv",sheet1,"Jahangirpuri, Delhi - DPCC",8760,0,0,cross-file overlap checked separately below
"Jahangirpuri, Delhi - DPCC	/Raw Data/2026_raw_data_hourly_jahangirpuri,_delhi_-_dpcc_1H.csv",sheet1,"Jahangirpuri, Delhi - DPCC",5088,0,0,cross-file overlap checked separately below
"Punjabi Bagh, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"Punjabi Bagh, Delhi - DPCC",30,0,0,cross-file overlap checked separately below
"Punjabi Bagh, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Punjabi Bagh, Delhi - DPCC",31,0,0,cross-file overlap checked separately below
"Punjabi Bagh, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Punjabi Bagh, Delhi - DPCC",31,0,0,cross-file overlap checked separately below
"Punjabi Bagh, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_February_delhi_2025.xlsx",Sheet1,"Punjabi Bagh, Delhi - DPCC",28,0,0,cross-file overlap checked separately below
"Punjabi Bagh, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Punjabi Bagh, Delhi - DPCC",31,0,0,cross-file overlap checked separately below
"Punjabi Bagh, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_July_delhi_2025.xlsx",Sheet1,"Punjabi Bagh, Delhi - DPCC",31,0,0,cross-file overlap checked separately below
"Punjabi Bagh, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_June_delhi_2025.xlsx",Sheet1,"Punjabi Bagh, Delhi - DPCC",30,0,0,cross-file overlap checked separately below
"Punjabi Bagh, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_March_delhi_2025.xlsx",Sheet1,"Punjabi Bagh, Delhi - DPCC",31,0,0,cross-file overlap checked separately below
"Punjabi Bagh, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_May_delhi_2025.xlsx",Sheet1,"Punjabi Bagh, Delhi - DPCC",28,0,0,cross-file overlap checked separately below
"Punjabi Bagh, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_November_delhi_2025.xlsx",Sheet1,"Punjabi Bagh, Delhi - DPCC",30,0,0,cross-file overlap checked separately below
"Punjabi Bagh, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_October_delhi_2025.xlsx",Sheet1,"Punjabi Bagh, Delhi - DPCC",31,0,0,cross-file overlap checked separately below
"Punjabi Bagh, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_September_delhi_2025.xlsx",Sheet1,"Punjabi Bagh, Delhi - DPCC",30,0,0,cross-file overlap checked separately below
"Punjabi Bagh, Delhi - DPCC/Raw Data/2024_raw_data_hourly_punjabi_bagh,_delhi_-_dpcc_1H.csv",sheet1,"Punjabi Bagh, Delhi - DPCC",8784,0,0,cross-file overlap checked separately below
"Punjabi Bagh, Delhi - DPCC/Raw Data/2025_raw_data_hourly_punjabi_bagh,_delhi_-_dpcc_1H.csv",sheet1,"Punjabi Bagh, Delhi - DPCC",8760,0,0,cross-file overlap checked separately below
"Punjabi Bagh, Delhi - DPCC/Raw Data/2026_raw_data_hourly_punjabi_bagh,_delhi_-_dpcc_1H.csv",sheet1,"Punjabi Bagh, Delhi - DPCC",5088,0,0,cross-file overlap checked separately below
"R K Puram, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"R K Puram, Delhi - DPCC",28,0,0,cross-file overlap checked separately below
"R K Puram, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"R K Puram, Delhi - DPCC",31,0,0,cross-file overlap checked separately below
"R K Puram, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"R K Puram, Delhi - DPCC",31,0,0,cross-file overlap checked separately below
"R K Puram, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_February_delhi_2025.xlsx",Sheet1,"R K Puram, Delhi - DPCC",28,0,0,cross-file overlap checked separately below
"R K Puram, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"R K Puram, Delhi - DPCC",31,0,0,cross-file overlap checked separately below
"R K Puram, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_July_delhi_2025.xlsx",Sheet1,"R K Puram, Delhi - DPCC",31,0,0,cross-file overlap checked separately below
"R K Puram, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_June_delhi_2025.xlsx",Sheet1,"R K Puram, Delhi - DPCC",30,0,0,cross-file overlap checked separately below
"R K Puram, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_March_delhi_2025.xlsx",Sheet1,"R K Puram, Delhi - DPCC",31,0,0,cross-file overlap checked separately below
"R K Puram, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_May_delhi_2025.xlsx",Sheet1,"R K Puram, Delhi - DPCC",31,0,0,cross-file overlap checked separately below
"R K Puram, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_November_delhi_2025.xlsx",Sheet1,"R K Puram, Delhi - DPCC",30,0,0,cross-file overlap checked separately below
"R K Puram, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_October_delhi_2025.xlsx",Sheet1,"R K Puram, Delhi - DPCC",31,0,0,cross-file overlap checked separately below
"R K Puram, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_September_delhi_2025.xlsx",Sheet1,"R K Puram, Delhi - DPCC",30,0,0,cross-file overlap checked separately below
"R K Puram, Delhi - DPCC/Raw Data/2024_raw_data_hourly_r_k_puram,_delhi_-_dpcc_1H.csv",sheet1,"R K Puram, Delhi - DPCC",8784,0,0,cross-file overlap checked separately below
"R K Puram, Delhi - DPCC/Raw Data/2025_raw_data_hourly_r_k_puram,_delhi_-_dpcc_1H.csv",sheet1,"R K Puram, Delhi - DPCC",8760,0,0,cross-file overlap checked separately below
"R K Puram, Delhi - DPCC/Raw Data/2026_raw_data_hourly_r_k_puram,_delhi_-_dpcc_1H.csv",sheet1,"R K Puram, Delhi - DPCC",5088,0,0,cross-file overlap checked separately below
