file_key,sheet,station_folder,col_name,n_total,n_missing,pct_missing,completely_empty
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",02:00:00,31,0,0.0,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",03:00:00,31,0,0.0,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",04:00:00,31,0,0.0,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",05:00:00,31,0,0.0,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",06:00:00,31,0,0.0,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",07:00:00,31,1,3.23,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",08:00:00,31,0,0.0,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",09:00:00,31,0,0.0,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",10:00:00,31,0,0.0,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",11:00:00,31,0,0.0,False
"Jahangirpuri, Delhi - DPCC	/AQI Hourly/aqi_hourly_station_level_jahangirpuri,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Jahangirpuri, Delhi - DPCC",12:00:00,31,0,0.0,False
